Layer,Name,GEOID,APR_2024,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2024,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,INC_2019-2023,FAI_2020
Census tract,Tract 105.01,55087010501,79.43925234,44,9.71,0.78,13.31877729,23.0349345,0,77.94759825,1046,27.72277228,33.16831683,0.298877138,903,39.6875,15.4,172600,72500,13.9
Census tract,Tract 105.02,55087010502,55,22,9.67,1.111319617,21.41327623,27.40899358,0,30.62098501,1351,18.51851852,24.69135802,0.380470099,1347,48.88888889,11.8,246000,77135,14.23142513
Census tract,Tract 106.01,55087010601,75,48,7.99,1.186115947,6.974063401,23.34293948,5.21000004,50.43227666,1044,7.906976744,31.51162791,0.533831829,891,18.96551724,19,223000,69313,19.47424806
Census tract,Tract 106.02,55087010602,78.30687831,19,7.47,1.889803627,7.051282051,15.12820513,0,89.23076923,1184,20.83333333,20.83333333,0.216422028,987,20.87447109,21.5,211400,86341,11.20003653
Census tract,Tract 107,55087010700,76.21621622,33,7.54,1.61,6.504065041,22.91666667,7.05999994,70.57926829,983,8.981001727,43.17789292,0.334184339,904,42.34234234,21.4,186500,74769,14.8
Census tract,Tract 108,55087010800,67.74193548,49,7.54,0.74,20.07926024,28.79788639,0,83.22324967,1127,59.84251969,82.67716535,0.32999747,1158,36.07594937,18.9,189700,65680,15.5
Census tract,Tract 109,55087010900,73.80952381,24,8.32,4.218614953,5.585980285,16.31982475,0,79.84665936,1239,16.30434783,37.5,0.389562561,1279,16.62650602,20.2,225300,97891,12.41420622
Census tract,Tract 110.01,55087011001,65,43,8.49,2.12,8.424657534,20.89041096,2.63000011,42.46575342,877,12.38095238,29.04761905,0.52660919,897,32.99389002,17,142400,64493,18
Census tract,Tract 110.02,55087011002,70.86614173,41,9.64,2.12,15.46391753,22.93814433,4.11000013,71.64948454,1105,50.3030303,60.3030303,0.379077979,955,16.36904762,24.3,154500,82564,18
Census tract,Tract 111.01,55087011101,76.51006711,32,9,0.82,9.516129032,21.73387097,2.81999993,54.47580645,1008,15.94331267,29.31798051,0.410835063,865,40.1179941,18.3,258000,78846,13.6
Census tract,Tract 111.03,55087011103,72.11538462,0,7.33,1.08,1.671122995,6.14973262,0,63.23529412,913,0,1.818181818,0.147094639,850,18,19.4,266200,103178,12.4
Census tract,Tract 111.04,55087011104,78.48101266,40,7.33,1.08,11.14327062,34.44283647,7.07999992,39.07380608,1089,16.98337292,44.06175772,0.324505705,1065,14.6031746,16.8,231300,61771,12.4
Census tract,Tract 112,55087011200,82.8358209,44,9.44,0.71,4.279069767,13.58139535,0,75.62790698,1065,0,25.57251908,0.435108153,1071,17.6344086,20.1,192200,79464,17.4
Census tract,Tract 113,55087011300,75.16778523,17,8.92,1.51,3.737541528,15.86378738,0,79.81727575,1033,15.22633745,45.26748971,0.114478425,809,31.12244898,22.8,179700,77283,13.5
Census tract,Tract 114,55087011400,78.68852459,27,9.08,0.32,10.90242785,32.24919835,2.63000011,54.55794778,1154,22.58064516,56.35080645,0.349560743,1215,45.8789205,17.8,220500,65982,17.2
Census tract,Tract 115.01,55087011501,73.91304348,52,8.6,1.599895069,2.66955267,23.73737374,0,81.45743146,1088,3.891050584,34.24124514,0.249939358,1127,28.13765182,19.4,179400,79167,14.99989526
Census tract,Tract 115.02,55087011502,69.59459459,26,7.64,0.86,5.5907173,19.30379747,4.32999992,63.97679325,919,11.56661786,35.87115666,0.410492131,852,30.39702233,16.2,258900,79231,13.2
Census tract,Tract 116,55087011600,77.23214286,23,8.6,0.36,10.83743842,24.07224959,0,64.99178982,1052,15.47842402,33.67729831,0.25490907,1131,42.65010352,19.2,260100,77148,11.4
Census tract,Tract 117,55087011700,82.78145695,12,8.13,1.369933959,4.057480981,14.28571429,0,68.80811496,925,10.29810298,16.2601626,0.159452287,839,18.91891892,20.5,176800,65905,12.79997042
Census tract,Tract 118,55087011800,75.29411765,33,9.16,0.064114459,9.850374065,17.33167082,4.94999981,69.20199501,950,23.48178138,28.74493927,0.103034506,1020,17.53246753,19,150700,59909,13.1852973
Census tract,Tract 119.01,55087011901,63.26530612,11,7.73,0.45,4.81540931,18.86035313,3.42000008,59.06902087,1048,11.76470588,35.49019608,0.182005547,1047,43.75,18.4,209200,74758,13.1
Census tract,Tract 119.02,55087011902,85.44303797,24,8.44,0.439433799,5.876180483,21.30115425,0,65.42497377,1097,14.26403642,33.53566009,0.265162549,974,29.67741935,18.8,247800,78864,13.10065008
